epoch (val_ndcg, val_hr) (test_ndcg, test_hr)
20 (np.float64(0.29793664858096386), 0.4694078947368421) (np.float64(0.26699743593234115), 0.43356104010577345)
40 (np.float64(0.2939743804482259), 0.4643447591755759) (np.float64(0.27264179578514675), 0.43204577968526464)
60 (np.float64(0.31039539385556225), 0.4825035875924495) (np.float64(0.28652913026693283), 0.4499670836076366)
80 (np.float64(0.32191597804679034), 0.4907995618838992) (np.float64(0.2860084919046987), 0.44704967218579844)
100 (np.float64(0.32699681417514026), 0.496921046844073) (np.float64(0.2931558093014122), 0.44899978017146625)
120 (np.float64(0.3252990499047899), 0.4937589749254391) (np.float64(0.29716518733052083), 0.45769442912300057)
140 (np.float64(0.3315061835041492), 0.4981339187705818) (np.float64(0.3009046071149486), 0.4614277808522413)
160 (np.float64(0.3407724242442901), 0.5098427361706808) (np.float64(0.3089261573768044), 0.47200176366843033)
180 (np.float64(0.32395999712116674), 0.49493949394939496) (np.float64(0.3031527211548293), 0.4672455484721917)
200 (np.float64(0.33836019165286224), 0.5100574712643678) (np.float64(0.31349333000954194), 0.47990726429675423)
220 (np.float64(0.3449108129647544), 0.5212847871521284) (np.float64(0.3119349115803198), 0.4722833260008799)
240 (np.float64(0.33917223791954176), 0.5066359548096961) (np.float64(0.31119157246094287), 0.4713782474680757)
260 (np.float64(0.3421914171426367), 0.5094713656387665) (np.float64(0.3150867392260395), 0.4785572905212228)
280 (np.float64(0.34229851519278875), 0.5153617443012884) (np.float64(0.3145104907775421), 0.47736078822096756)
300 (np.float64(0.34308172995298375), 0.5188086045228902) (np.float64(0.3140042201119427), 0.4770571365541584)
320 (np.float64(0.3510651298369451), 0.5206611570247934) (np.float64(0.3120743292585007), 0.4782560827920291)
340 (np.float64(0.34105160517140387), 0.510136624063464) (np.float64(0.3155938381730424), 0.47847206888937954)
360 (np.float64(0.35251457951084164), 0.5246153846153846) (np.float64(0.3183204468601247), 0.4816204879125731)
380 (np.float64(0.34130992940958615), 0.5083213931444946) (np.float64(0.31216865832729634), 0.4773201537616694)
400 (np.float64(0.3492760886647098), 0.5175351255669876) (np.float64(0.31829258346791656), 0.4834159779614325)
420 (np.float64(0.35622154629303276), 0.5244870946393118) (np.float64(0.32055886230241276), 0.4804765056254136)
440 (np.float64(0.3462513083650447), 0.5177469135802469) (np.float64(0.321683235653589), 0.48653994066586087)
460 (np.float64(0.3468294393794943), 0.5194719471947195) (np.float64(0.3236424983814689), 0.4879067722075638)
480 (np.float64(0.351191648511277), 0.5211794476840137) (np.float64(0.3174506910557491), 0.4824126144007057)
500 (np.float64(0.3513841475734157), 0.5219211280017625) (np.float64(0.3240525728494345), 0.4924284293135846)
520 (np.float64(0.35338329369635924), 0.5225522552255225) (np.float64(0.3220526800916251), 0.484362913029064)
540 (np.float64(0.35092362995665627), 0.5234108185523851) (np.float64(0.31777326656519594), 0.4806519569797095)
560 (np.float64(0.34994514823195944), 0.5221501593932065) (np.float64(0.3197878685438349), 0.48347062053816586)
580 (np.float64(0.35561829007215084), 0.5229053979467932) (np.float64(0.32153786696708), 0.484631486173846)
600 (np.float64(0.35337489530213906), 0.5220936639118458) (np.float64(0.3302802006342099), 0.49108714788732394)
620 (np.float64(0.35379276539317556), 0.526125137211855) (np.float64(0.3253195648684393), 0.4941189403099923)
640 (np.float64(0.35381903015638627), 0.5254798146922568) (np.float64(0.32666771382952964), 0.4903282856195424)
660 (np.float64(0.35398272973403466), 0.5298400441257584) (np.float64(0.320017306512733), 0.48487505480052606)
680 (np.float64(0.3538074911688582), 0.5239616613418531) (np.float64(0.3238815321386502), 0.4866740088105727)
700 (np.float64(0.35098839894471073), 0.5197440988307964) (np.float64(0.32392091505288095), 0.4865816102067752)
720 (np.float64(0.35661741745726167), 0.5251735154786824) (np.float64(0.3243817100154271), 0.48873997583214324)
740 (np.float64(0.35721237454420973), 0.5322829440282063) (np.float64(0.32433237684147226), 0.48637961335676627)
760 (np.float64(0.3548221607985697), 0.5255434182941631) (np.float64(0.3210035184477634), 0.4887052341597796)
780 (np.float64(0.35607965588604534), 0.5308370044052864) (np.float64(0.3307735016774663), 0.4943019943019943)
800 (np.float64(0.3553890502435053), 0.5266220221758701) (np.float64(0.32243851844849086), 0.4853588727432849)
820 (np.float64(0.35638008811155114), 0.5256707519046042) (np.float64(0.32130075259257346), 0.48182922788026067)
840 (np.float64(0.35809591375342537), 0.5285099812506893) (np.float64(0.32886862179311577), 0.49110281195079086)
860 (np.float64(0.3519875825932139), 0.5240500768723918) (np.float64(0.31956955677410065), 0.4819144243493604)
880 (np.float64(0.349285184170004), 0.5178121232050861) (np.float64(0.3172889246949707), 0.48239166209544704)
900 (np.float64(0.358425688362845), 0.5291803278688525) (np.float64(0.3255962207340951), 0.48786620026235245)
920 (np.float64(0.35240780672904637), 0.5246245583038869) (np.float64(0.32167519516529736), 0.4858183423463194)
940 (np.float64(0.35548953708948544), 0.5257482394366197) (np.float64(0.3261547571865359), 0.4922348276241877)
960 (np.float64(0.3568097123366489), 0.5255208907507442) (np.float64(0.31783300431715267), 0.4785336856010568)
980 (np.float64(0.3521857164014174), 0.5236523652365237) (np.float64(0.3192242224743513), 0.48367234744365034)
1000 (np.float64(0.354490300900034), 0.5265998457979953) (np.float64(0.3212852589358202), 0.4870665932856357)
